OMRKK;OPFØRELSESÅR;ENHED;TID;INDHOLD
København i alt;1850-1899;Antal bygninger;1991;6332
København i alt;1850-1899;Antal bygninger;1992;6312
København i alt;1850-1899;Antal bygninger;1995;6240
København i alt;1850-1899;Antal bygninger;1996;6232
København i alt;1850-1899;Antal bygninger;1997;6217
København i alt;1850-1899;Antal bygninger;2001;6128
København i alt;1850-1899;Antal bygninger;2002;6123
København i alt;1850-1899;Antal bygninger;2003;6094
København i alt;1850-1899;Antal bygninger;2004;6077
København i alt;1850-1899;Antal bygninger;2005;5991
København i alt;1850-1899;Antal bygninger;2006;5988
København i alt;1850-1899;Antal bygninger;2007;5945
København i alt;1850-1899;Antal bygninger;2008;5929
København i alt;1850-1899;Antal bygninger;2009;5908
København i alt;1850-1899;Antal bygninger;2010;5898
København i alt;1850-1899;Antal bygninger;2011;5887
København i alt;1850-1899;Antal bygninger;2012;5851
København i alt;1850-1899;Antal bygninger;2013;5848
København i alt;1850-1899;Antal bygninger;2014;5862
København i alt;1850-1899;Antal bygninger;2015;5851
København i alt;1850-1899;Antal bygninger;2016;5857
København i alt;1850-1899;Antal bygninger;2017;5857
København i alt;1850-1899;Antal bygninger;2018;5815
København i alt;1850-1899;Antal bygninger;2019;5799
København i alt;1850-1899;Antal bygninger;2020;5797
København i alt;1850-1899;Antal bygninger;2021;5791
København i alt;1850-1899;Antal bygninger;2022;5780
København i alt;1850-1899;Antal bygninger;2023;5767
Bydel - Indre By;1850-1899;Antal bygninger;1991;2246
Bydel - Indre By;1850-1899;Antal bygninger;1992;2237
Bydel - Indre By;1850-1899;Antal bygninger;1995;2238
Bydel - Indre By;1850-1899;Antal bygninger;1996;2233
Bydel - Indre By;1850-1899;Antal bygninger;1997;2220
Bydel - Indre By;1850-1899;Antal bygninger;2001;2208
Bydel - Indre By;1850-1899;Antal bygninger;2002;2220
Bydel - Indre By;1850-1899;Antal bygninger;2003;2213
Bydel - Indre By;1850-1899;Antal bygninger;2004;2214
Bydel - Indre By;1850-1899;Antal bygninger;2005;2181
Bydel - Indre By;1850-1899;Antal bygninger;2006;2231
Bydel - Indre By;1850-1899;Antal bygninger;2007;2209
Bydel - Indre By;1850-1899;Antal bygninger;2008;2206
Bydel - Indre By;1850-1899;Antal bygninger;2009;2201
Bydel - Indre By;1850-1899;Antal bygninger;2010;2198
Bydel - Indre By;1850-1899;Antal bygninger;2011;2194
Bydel - Indre By;1850-1899;Antal bygninger;2012;2182
Bydel - Indre By;1850-1899;Antal bygninger;2013;2187
Bydel - Indre By;1850-1899;Antal bygninger;2014;2189
Bydel - Indre By;1850-1899;Antal bygninger;2015;2188
Bydel - Indre By;1850-1899;Antal bygninger;2016;2194
Bydel - Indre By;1850-1899;Antal bygninger;2017;2204
Bydel - Indre By;1850-1899;Antal bygninger;2018;2193
Bydel - Indre By;1850-1899;Antal bygninger;2019;2189
Bydel - Indre By;1850-1899;Antal bygninger;2020;2190
Bydel - Indre By;1850-1899;Antal bygninger;2021;2190
Bydel - Indre By;1850-1899;Antal bygninger;2022;2192
Bydel - Indre By;1850-1899;Antal bygninger;2023;2191
Bydel - Østerbro;1850-1899;Antal bygninger;1991;1015
Bydel - Østerbro;1850-1899;Antal bygninger;1992;1017
Bydel - Østerbro;1850-1899;Antal bygninger;1995;1028
Bydel - Østerbro;1850-1899;Antal bygninger;1996;1023
Bydel - Østerbro;1850-1899;Antal bygninger;1997;1019
Bydel - Østerbro;1850-1899;Antal bygninger;2001;1026
Bydel - Østerbro;1850-1899;Antal bygninger;2002;1018
Bydel - Østerbro;1850-1899;Antal bygninger;2003;1016
Bydel - Østerbro;1850-1899;Antal bygninger;2004;1009
Bydel - Østerbro;1850-1899;Antal bygninger;2005;1005
Bydel - Østerbro;1850-1899;Antal bygninger;2006;989
Bydel - Østerbro;1850-1899;Antal bygninger;2007;986
Bydel - Østerbro;1850-1899;Antal bygninger;2008;984
Bydel - Østerbro;1850-1899;Antal bygninger;2009;983
Bydel - Østerbro;1850-1899;Antal bygninger;2010;982
Bydel - Østerbro;1850-1899;Antal bygninger;2011;979
Bydel - Østerbro;1850-1899;Antal bygninger;2012;964
Bydel - Østerbro;1850-1899;Antal bygninger;2013;967
Bydel - Østerbro;1850-1899;Antal bygninger;2014;975
Bydel - Østerbro;1850-1899;Antal bygninger;2015;973
Bydel - Østerbro;1850-1899;Antal bygninger;2016;974
Bydel - Østerbro;1850-1899;Antal bygninger;2017;970
Bydel - Østerbro;1850-1899;Antal bygninger;2018;951
Bydel - Østerbro;1850-1899;Antal bygninger;2019;949
Bydel - Østerbro;1850-1899;Antal bygninger;2020;958
Bydel - Østerbro;1850-1899;Antal bygninger;2021;957
Bydel - Østerbro;1850-1899;Antal bygninger;2022;945
Bydel - Østerbro;1850-1899;Antal bygninger;2023;945
Bydel - Nørrebro;1850-1899;Antal bygninger;1991;855
Bydel - Nørrebro;1850-1899;Antal bygninger;1992;853
Bydel - Nørrebro;1850-1899;Antal bygninger;1995;837
Bydel - Nørrebro;1850-1899;Antal bygninger;1996;832
Bydel - Nørrebro;1850-1899;Antal bygninger;1997;835
Bydel - Nørrebro;1850-1899;Antal bygninger;2001;815
Bydel - Nørrebro;1850-1899;Antal bygninger;2002;814
Bydel - Nørrebro;1850-1899;Antal bygninger;2003;811
Bydel - Nørrebro;1850-1899;Antal bygninger;2004;806
Bydel - Nørrebro;1850-1899;Antal bygninger;2005;805
Bydel - Nørrebro;1850-1899;Antal bygninger;2006;780
Bydel - Nørrebro;1850-1899;Antal bygninger;2007;779
Bydel - Nørrebro;1850-1899;Antal bygninger;2008;776
Bydel - Nørrebro;1850-1899;Antal bygninger;2009;772
Bydel - Nørrebro;1850-1899;Antal bygninger;2010;771
Bydel - Nørrebro;1850-1899;Antal bygninger;2011;768
Bydel - Nørrebro;1850-1899;Antal bygninger;2012;765
Bydel - Nørrebro;1850-1899;Antal bygninger;2013;763
Bydel - Nørrebro;1850-1899;Antal bygninger;2014;767
Bydel - Nørrebro;1850-1899;Antal bygninger;2015;765
Bydel - Nørrebro;1850-1899;Antal bygninger;2016;766
Bydel - Nørrebro;1850-1899;Antal bygninger;2017;764
Bydel - Nørrebro;1850-1899;Antal bygninger;2018;760
Bydel - Nørrebro;1850-1899;Antal bygninger;2019;760
Bydel - Nørrebro;1850-1899;Antal bygninger;2020;758
Bydel - Nørrebro;1850-1899;Antal bygninger;2021;759
Bydel - Nørrebro;1850-1899;Antal bygninger;2022;760
Bydel - Nørrebro;1850-1899;Antal bygninger;2023;760
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;1991;1352
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;1992;1348
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;1995;1327
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;1996;1323
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;1997;1313
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2001;1268
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2002;1253
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2003;1239
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2004;1242
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2005;1210
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2006;1204
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2007;1201
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2008;1198
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2009;1197
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2010;1196
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2011;1196
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2012;1194
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2013;1193
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2014;1191
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2015;1186
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2016;1186
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2017;1185
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2018;1181
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2019;1179
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2020;1169
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2021;1166
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2022;1166
Bydel - Vesterbro/Kongens Enghave;1850-1899;Antal bygninger;2023;1161
Bydel - Valby;1850-1899;Antal bygninger;1991;201
Bydel - Valby;1850-1899;Antal bygninger;1992;201
Bydel - Valby;1850-1899;Antal bygninger;1995;187
Bydel - Valby;1850-1899;Antal bygninger;1996;187
Bydel - Valby;1850-1899;Antal bygninger;1997;187
Bydel - Valby;1850-1899;Antal bygninger;2001;189
Bydel - Valby;1850-1899;Antal bygninger;2002;199
Bydel - Valby;1850-1899;Antal bygninger;2003;200
Bydel - Valby;1850-1899;Antal bygninger;2004;194
Bydel - Valby;1850-1899;Antal bygninger;2005;195
Bydel - Valby;1850-1899;Antal bygninger;2006;193
Bydel - Valby;1850-1899;Antal bygninger;2007;193
Bydel - Valby;1850-1899;Antal bygninger;2008;193
Bydel - Valby;1850-1899;Antal bygninger;2009;193
Bydel - Valby;1850-1899;Antal bygninger;2010;193
Bydel - Valby;1850-1899;Antal bygninger;2011;193
Bydel - Valby;1850-1899;Antal bygninger;2012;193
Bydel - Valby;1850-1899;Antal bygninger;2013;193
Bydel - Valby;1850-1899;Antal bygninger;2014;193
Bydel - Valby;1850-1899;Antal bygninger;2015;192
Bydel - Valby;1850-1899;Antal bygninger;2016;191
Bydel - Valby;1850-1899;Antal bygninger;2017;189
Bydel - Valby;1850-1899;Antal bygninger;2018;189
Bydel - Valby;1850-1899;Antal bygninger;2019;187
Bydel - Valby;1850-1899;Antal bygninger;2020;187
Bydel - Valby;1850-1899;Antal bygninger;2021;187
Bydel - Valby;1850-1899;Antal bygninger;2022;187
Bydel - Valby;1850-1899;Antal bygninger;2023;187
Bydel - Vanløse;1850-1899;Antal bygninger;1991;46
Bydel - Vanløse;1850-1899;Antal bygninger;1992;41
Bydel - Vanløse;1850-1899;Antal bygninger;1995;37
Bydel - Vanløse;1850-1899;Antal bygninger;1996;37
Bydel - Vanløse;1850-1899;Antal bygninger;1997;37
Bydel - Vanløse;1850-1899;Antal bygninger;2001;33
Bydel - Vanløse;1850-1899;Antal bygninger;2002;33
Bydel - Vanløse;1850-1899;Antal bygninger;2003;32
Bydel - Vanløse;1850-1899;Antal bygninger;2004;31
Bydel - Vanløse;1850-1899;Antal bygninger;2005;26
Bydel - Vanløse;1850-1899;Antal bygninger;2006;26
Bydel - Vanløse;1850-1899;Antal bygninger;2007;26
Bydel - Vanløse;1850-1899;Antal bygninger;2008;26
Bydel - Vanløse;1850-1899;Antal bygninger;2009;26
Bydel - Vanløse;1850-1899;Antal bygninger;2010;25
Bydel - Vanløse;1850-1899;Antal bygninger;2011;25
Bydel - Vanløse;1850-1899;Antal bygninger;2012;25
Bydel - Vanløse;1850-1899;Antal bygninger;2013;25
Bydel - Vanløse;1850-1899;Antal bygninger;2014;25
Bydel - Vanløse;1850-1899;Antal bygninger;2015;25
Bydel - Vanløse;1850-1899;Antal bygninger;2016;25
Bydel - Vanløse;1850-1899;Antal bygninger;2017;25
Bydel - Vanløse;1850-1899;Antal bygninger;2018;25
Bydel - Vanløse;1850-1899;Antal bygninger;2019;25
Bydel - Vanløse;1850-1899;Antal bygninger;2020;25
Bydel - Vanløse;1850-1899;Antal bygninger;2021;25
Bydel - Vanløse;1850-1899;Antal bygninger;2022;23
Bydel - Vanløse;1850-1899;Antal bygninger;2023;22
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;1991;22
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;1992;23
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;1995;17
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;1996;17
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;1997;17
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2001;15
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2002;15
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2003;15
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2004;15
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2005;15
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2006;14
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2007;14
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2008;13
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2009;13
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2010;13
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2011;13
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2012;12
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2013;13
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2014;13
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2015;13
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2016;13
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2017;13
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2018;13
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2019;13
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2020;13
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2021;13
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2022;13
Bydel - Brønshøj-Husum;1850-1899;Antal bygninger;2023;13
Bydel - Bispebjerg;1850-1899;Antal bygninger;1991;111
Bydel - Bispebjerg;1850-1899;Antal bygninger;1992;110
Bydel - Bispebjerg;1850-1899;Antal bygninger;1995;109
Bydel - Bispebjerg;1850-1899;Antal bygninger;1996;109
Bydel - Bispebjerg;1850-1899;Antal bygninger;1997;108
Bydel - Bispebjerg;1850-1899;Antal bygninger;2001;102
Bydel - Bispebjerg;1850-1899;Antal bygninger;2002;101
Bydel - Bispebjerg;1850-1899;Antal bygninger;2003;100
Bydel - Bispebjerg;1850-1899;Antal bygninger;2004;100
Bydel - Bispebjerg;1850-1899;Antal bygninger;2005;98
Bydel - Bispebjerg;1850-1899;Antal bygninger;2006;97
Bydel - Bispebjerg;1850-1899;Antal bygninger;2007;95
Bydel - Bispebjerg;1850-1899;Antal bygninger;2008;95
Bydel - Bispebjerg;1850-1899;Antal bygninger;2009;91
Bydel - Bispebjerg;1850-1899;Antal bygninger;2010;91
Bydel - Bispebjerg;1850-1899;Antal bygninger;2011;90
Bydel - Bispebjerg;1850-1899;Antal bygninger;2012;89
Bydel - Bispebjerg;1850-1899;Antal bygninger;2013;86
Bydel - Bispebjerg;1850-1899;Antal bygninger;2014;86
Bydel - Bispebjerg;1850-1899;Antal bygninger;2015;86
Bydel - Bispebjerg;1850-1899;Antal bygninger;2016;86
Bydel - Bispebjerg;1850-1899;Antal bygninger;2017;86
Bydel - Bispebjerg;1850-1899;Antal bygninger;2018;85
Bydel - Bispebjerg;1850-1899;Antal bygninger;2019;84
Bydel - Bispebjerg;1850-1899;Antal bygninger;2020;84
Bydel - Bispebjerg;1850-1899;Antal bygninger;2021;84
Bydel - Bispebjerg;1850-1899;Antal bygninger;2022;84
Bydel - Bispebjerg;1850-1899;Antal bygninger;2023;84
Bydel - Amager Øst;1850-1899;Antal bygninger;1991;283
Bydel - Amager Øst;1850-1899;Antal bygninger;1992;276
Bydel - Amager Øst;1850-1899;Antal bygninger;1995;266
Bydel - Amager Øst;1850-1899;Antal bygninger;1996;264
Bydel - Amager Øst;1850-1899;Antal bygninger;1997;267
Bydel - Amager Øst;1850-1899;Antal bygninger;2001;260
Bydel - Amager Øst;1850-1899;Antal bygninger;2002;258
Bydel - Amager Øst;1850-1899;Antal bygninger;2003;255
Bydel - Amager Øst;1850-1899;Antal bygninger;2004;254
Bydel - Amager Øst;1850-1899;Antal bygninger;2005;250
Bydel - Amager Øst;1850-1899;Antal bygninger;2006;249
Bydel - Amager Øst;1850-1899;Antal bygninger;2007;243
Bydel - Amager Øst;1850-1899;Antal bygninger;2008;243
Bydel - Amager Øst;1850-1899;Antal bygninger;2009;238
Bydel - Amager Øst;1850-1899;Antal bygninger;2010;237
Bydel - Amager Øst;1850-1899;Antal bygninger;2011;237
Bydel - Amager Øst;1850-1899;Antal bygninger;2012;234
Bydel - Amager Øst;1850-1899;Antal bygninger;2013;229
Bydel - Amager Øst;1850-1899;Antal bygninger;2014;229
Bydel - Amager Øst;1850-1899;Antal bygninger;2015;229
Bydel - Amager Øst;1850-1899;Antal bygninger;2016;229
Bydel - Amager Øst;1850-1899;Antal bygninger;2017;226
Bydel - Amager Øst;1850-1899;Antal bygninger;2018;223
Bydel - Amager Øst;1850-1899;Antal bygninger;2019;220
Bydel - Amager Øst;1850-1899;Antal bygninger;2020;220
Bydel - Amager Øst;1850-1899;Antal bygninger;2021;220
Bydel - Amager Øst;1850-1899;Antal bygninger;2022;220
Bydel - Amager Øst;1850-1899;Antal bygninger;2023;216
Bydel - Amager Vest;1850-1899;Antal bygninger;1991;201
Bydel - Amager Vest;1850-1899;Antal bygninger;1992;206
Bydel - Amager Vest;1850-1899;Antal bygninger;1995;194
Bydel - Amager Vest;1850-1899;Antal bygninger;1996;207
Bydel - Amager Vest;1850-1899;Antal bygninger;1997;214
Bydel - Amager Vest;1850-1899;Antal bygninger;2001;212
Bydel - Amager Vest;1850-1899;Antal bygninger;2002;212
Bydel - Amager Vest;1850-1899;Antal bygninger;2003;213
Bydel - Amager Vest;1850-1899;Antal bygninger;2004;212
Bydel - Amager Vest;1850-1899;Antal bygninger;2005;206
Bydel - Amager Vest;1850-1899;Antal bygninger;2006;205
Bydel - Amager Vest;1850-1899;Antal bygninger;2007;199
Bydel - Amager Vest;1850-1899;Antal bygninger;2008;195
Bydel - Amager Vest;1850-1899;Antal bygninger;2009;194
Bydel - Amager Vest;1850-1899;Antal bygninger;2010;192
Bydel - Amager Vest;1850-1899;Antal bygninger;2011;192
Bydel - Amager Vest;1850-1899;Antal bygninger;2012;193
Bydel - Amager Vest;1850-1899;Antal bygninger;2013;192
Bydel - Amager Vest;1850-1899;Antal bygninger;2014;194
Bydel - Amager Vest;1850-1899;Antal bygninger;2015;194
Bydel - Amager Vest;1850-1899;Antal bygninger;2016;193
Bydel - Amager Vest;1850-1899;Antal bygninger;2017;195
Bydel - Amager Vest;1850-1899;Antal bygninger;2018;195
Bydel - Amager Vest;1850-1899;Antal bygninger;2019;193
Bydel - Amager Vest;1850-1899;Antal bygninger;2020;193
Bydel - Amager Vest;1850-1899;Antal bygninger;2021;190
Bydel - Amager Vest;1850-1899;Antal bygninger;2022;190
Bydel - Amager Vest;1850-1899;Antal bygninger;2023;188
Bydel - Uden for inddeling;1850-1899;Antal bygninger;1991;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;1992;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;1995;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;1996;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;1997;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2001;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2002;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2003;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2004;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2005;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2006;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2007;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2008;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2009;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2010;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2011;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2012;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2013;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2014;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2015;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2016;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2017;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2018;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2019;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2020;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2021;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2022;0
Bydel - Uden for inddeling;1850-1899;Antal bygninger;2023;0
Lokaludvalg - Indre By;1850-1899;Antal bygninger;1991;2101
Lokaludvalg - Indre By;1850-1899;Antal bygninger;1992;2093
Lokaludvalg - Indre By;1850-1899;Antal bygninger;1995;2094
Lokaludvalg - Indre By;1850-1899;Antal bygninger;1996;2090
Lokaludvalg - Indre By;1850-1899;Antal bygninger;1997;2083
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2001;2069
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2002;2068
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2003;2068
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2004;2067
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2005;2034
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2006;2025
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2007;2004
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2008;2002
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2009;1998
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2010;1997
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2011;1993
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2012;1989
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2013;1992
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2014;1986
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2015;1985
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2016;1994
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2017;2000
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2018;1994
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2019;1990
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2020;1992
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2021;1993
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2022;1995
Lokaludvalg - Indre By;1850-1899;Antal bygninger;2023;1994
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;1991;145
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;1992;144
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;1995;144
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;1996;143
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;1997;137
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2001;139
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2002;152
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2003;145
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2004;147
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2005;147
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2006;206
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2007;205
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2008;204
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2009;203
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2010;201
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2011;201
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2012;193
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2013;195
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2014;203
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2015;203
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2016;200
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2017;204
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2018;199
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2019;199
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2020;198
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2021;197
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2022;197
Lokaludvalg - Christianshavn;1850-1899;Antal bygninger;2023;197
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;1991;1015
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;1992;1017
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;1995;1028
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;1996;1023
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;1997;1019
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2001;1026
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2002;1018
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2003;1016
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2004;1009
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2005;1005
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2006;989
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2007;986
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2008;984
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2009;983
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2010;982
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2011;979
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2012;964
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2013;967
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2014;975
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2015;973
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2016;974
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2017;970
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2018;951
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2019;949
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2020;958
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2021;957
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2022;945
Lokaludvalg - Østerbro;1850-1899;Antal bygninger;2023;945
Lokaludvalg - Nørrebro;1850-1899;Antal bygninger;1991;855
Lokaludvalg - Nørrebro;1850-1899;Antal bygninger;1992;853
Lokaludvalg - Nørrebro;1850-1899;Antal bygninger;1995;837
Lokaludvalg - Nørrebro;1850-1899;Antal bygninger;1996;832
Lokaludvalg - Nørrebro;1850-1899;Antal bygninger;1997;835
Lokaludvalg - Nørrebro;1850-1899;Antal bygninger;2001;815
Lokaludvalg - Nørrebro;1850-1899;Antal bygninger;2002;814
Lokaludvalg - Nørrebro;1850-1899;Antal bygninger;2003;811
Lokaludvalg - Nørrebro;1850-1899;Antal bygninger;2004;806
Lokaludvalg - Nørrebro;1850-1899;Antal bygninger;2005;805
Lokaludvalg - Nørrebro;1850-1899;Antal bygninger;2006;780
Lokaludvalg - Nørrebro;1850-1899;Antal bygninger;2007;779
Lokaludvalg - Nørrebro;1850-1899;Antal bygninger;2008;776
Lokaludvalg - Nørrebro;1850-1899;Antal bygninger;2009;772
